Attracting Talent: Location Choices of Foreign-Born PhDs in the United States,"Grogger, Jeffrey; Hanson, Gordon H.",,,,
Attribution and Reciprocity in an Experimental Labor Market,"Charness, Gary",,,,
Bargaining and Information: An Empirical Analysis of A Multistage Arbitration Game,"Pecorino, Paul; Van Boening, Mark",,,,
Bargaining and the Joint-Cost Theory of Strikes: An Experimental Study,"Sopher, Barry",,,,
"Bargaining Power, Strike Durations, and Wage Outcomes: An Analysis of Strikes in the 1880s","Card, David; Olson, Craig A.",,,,
"Bargaining, Compensating Wage Differentials, and Dualism of the Labor Market: Theory and Evidence for France","Daniel, Christophe; Sofer, Catherine",,,,
Bayesian Learning and Gender Segregation,"Breen, Richard; Garcia-Penalosa, Cecilia",,,,
"Beauty, Productivity, and Discrimination: Lawyers' Looks and Lucre","Biddle, Jeff E.; Hamermesh, Daniel S.",,,,
Between Search and Walras,"Kandel, Eugene; Simhon, Avi",,,,
Bias-Corrected Estimates of GED Returns,"Heckman, James J.; LaFontaine, Paul A.",,,,
Bibliography of the Works of Albert Rees,,,,,
Bibliography of the Works of Jacob Mincer,"Mincer, Jacob",,,,
Biology as Destiny? Short- and Long-Run Determinants of Intergenerational Transmission of Birth Weight,"Currie, Janet; Moretti, Enrico",,,,
"Birth Order, Family Size, and Achievement: Family Structure and Wage Determination","Kessler, Daniel",,,,
"Birth Order, Schooling, and Earnings","Behrman, Jere R.; Taubman, Paul",,,,
"Birth Order, Schooling, and Earnings: Comment","Griliches, Zvi",,,,
"Borrowing Constraints, College Enrollment, and Delayed Entry","Johnson, Matthew T.",,,,
"Borrowing Constraints, Occupational Choice, and Labor Supply","Bernhardt, Dan; Backus, David",,,,
Bridge Jobs and Partial Retirement,"Ruhm, Christopher J.",,,,
Bureaucratic Responses,"Prendergast, Canice",,,,
"Business Cycle Models, Aggregation, and Real Wage Cyclicality","Bowlus, Audra; Liu, Haoming; Robinson, Chris",,,,
Can Principals Identify Effective Teachers? Evidence on Subjective Performance Evaluation in Education,"Jacob, Brian A.; Lefgren, Lars",,,,
Can the Mortensen-Pissarides Model with Productivity Changes Explain US Wage Inequality?,"Wong, Linda Y.",,,,
"Can the Scala Mobile Explain the Fall and Rise of Earnings Inequality in Italy? A Semiparametric Analysis, 1977-1993","Manacorda, Marco",,,,
Career Choice and Wage Growth,"Pavan, Ronni",,,,
Career Concerns in Teams,"Auriol, Emmanuelle; Friebel, Guido; Pechlivanos, Lambros",,,,
"Career Concerns, Contracts, and Effort Distortions","Andersson, Fredrik",,,,
Career Interruptions Following Childbirth,"Even, William E.",,,,
Career Paths and Quit Decisions: Evidence from Teaching,"Brewer, Dominic J.",,,,
"Carrots and Sticks: Pay, Supervision, and Turnover","Leonard, Jonathan S.",,,,
"Cashier or Consultant? Entry Labor Market Conditions, Field of Study, and Career Success","Altonji, Joseph G.; Kahn, Lisa B.; Speer, Jamin D.",,,,
"Cautionary Tails about Arbitrary Deletion of Observations; or, Throwing the Variance Out with the Bathwater","MacDonald, Glenn M.; Robinson, Chris",,,,
Centralized and Decentralized Decision Making in Organizations,"Zabojnik, Jan",,,,
CEO Incentives and Firm Size,"Baker, George P.; Hall, Brian J.",,,,
Changes in Job Instability and Insecurity Using Monthly Survey Data,"Gottschalk, Peter; Moffitt, Robert",,,,
Changes in the Characteristics of American Youth: Implications for Adult Outcomes,"Altonji, Joseph G.; Bharadwaj, Prashant; Lange, Fabian",,,,
Changes in the Functional Structure of Firms and the Demand for Skill,"Maurin, Eric; Thesmar, David",,,,
Changes in the Labor Supply Behavior of Married Women: 1980-2000,"Blau, Francine D.; Kahn, Lawrence M.",,,,
"Changes in US Wages, 1976-2000: Ongoing Skill Bias or Major Technological Change?","Beaudry, Paul; Green, David A.",,,,
Child Care Choices and Children's Cognitive Achievement: The Case of Single Mothers,"Bernal, Raquel; Keane, Michael P.",,,,
Child Labor and Globalization,"Dinopoulos, Elias; Zhao, Laixun",,,,
Child-Care Policy and the Labor Supply of Mothers with Young Children: A Natural Experiment from Canada,"Lefebvre, Pierre; Merrigan, Philip",,,,
Children as Collective Goods and Divorce Settlements,"Weiss, Yoram; Willis, Robert J.",,,,
Choice among Wage-Hours Packages: An Empirical Investigation of Male Labor Supply,"Biddle, Jeff E.; Zarkin, Gary A.",,,,
Choosing the Right Pond: Social Approval and Occupational Choice,"Mani, Anandi; Mullin, Charles H.",,,,
Cities and Skills,"Glaeser, Edward L.; Mare, David C.",,,,
Classroom Peer Effects and Student Achievement,"Burke, Mary A.; Sass, Tim R.",,,,
Clean Evidence on Peer Effects,"Falk, Armin; Ichino, Andrea",,,,
Cognitive Mobility: Labor Market Responses to Supply Shocks in the Space of Ideas,"Borjas, George J.; Doran, Kirk B.",,,,
Collaborating with People Like Me: Ethnic Coauthorship within the United States,"Freeman, Richard B.; Wei Huang",,,,
Collective Bargaining and Union Membership Effects on the Wages of Male Youths,"Blakemore, Arthur E.; Hunt, Janet C.; Kiker, B. F.",,,,
"Collective Bargaining Laws, Threat Effects, and the Determination of Police Compensation","Ichniowski, Casey; Freeman, Richard B.; Lauer, Harrison",,,,
College Selectivity and Earnings,"Loury, Linda Datcher; Garman, David",,,,
Coming Out of the Shadows: Learning about Legal Status and Wages from the Legalized Population,"Kossoudji, Sherrie A.; Cobb-Clark, Deborah A.",,,,
Comparable-Worth Wage Adjustments and Female Employment in the State and Local Sector,"Ehrenberg, Ronald G.; Smith, Robert S.",,,,
"Comparative Advantage, Learning, and Sectoral Wage Determination","Gibbons, Robert; Katz, Lawrence F.; Lemieux, Thomas; Parent, Daniel",,,,
Compensating Differentials for Cyclical and Noncyclical Unemployment: The Interaction between Investors' and Employees' Risk Aversion,"Li, Elizabeth H.",,,,
Compensating Wage Differentials and the Duration of Wage Loss,"Hamermesh, Daniel S.; Wolfe, John R.",,,,
Compensation and Span of Control in Hierarchical Organizations,"Ortin-Angel, Pedro; Salas-Fumas, Vicente",,,,
Compensation Strategy and Design: Preface,"Baker, George; Shaw, Kathryn; Smith, Abbie",,,,
Competition and the Ratchet Effect,"Charness, Gary; Kuhn, Peter; Villeval, Marie Claire",,,,
"Competition, Wage Commitments, and Application Fees","Wang, Ruqu",,,,
Complete Bibliography of the Works of Melvin W Reder,"Reder, Melvin W.",,,,
Compliance and Enforcement Decisions under the National Labor Relations Act,"Flanagan, Robert J.",,,,
Consequences of the Rise in Female Labor Force Participation Rates: Questions and Probes,"Michael, Robert T.",,,,
Contract Reopeners,"Danziger, Leif",,,,
"Contracts, Job Experience, and Cyclical Labor Market Adjustments","Raisian, John",,,,
Contractual Wages and the Wage Cushion under Different Bargaining Settings,"Cardoso, Ana Rute; Portugal, Pedro",,,,
Controlling for Endogeneity of Strike Variables in the Estimation of Wage Settlement Equations,"Jimenez-Martin, Sergi",,,,
Corporate Tournaments,"Bognanno, Michael L.",,,,
Correlations between Brothers and Neighboring Boys in Their Adult Earnings: The Importance of Being Urban,"Page, Marianne E.; Solon, Gary",,,,
Cost-of-Living Adjustment Clauses in Union Contracts: A Summary of Results,"Ehrenberg, Ronald G.; Danziger, Leif; San, Gee",,,,
Counteroffers and Efficiency in Labor Markets with Asymmetric Information,"Golan, Limor",,,,
"Cues for Timing and Coordination: Latitude, Letterman, and Longitude","Hamermesh, Daniel S.; Myers, Caitlin Knowles; Pocock, Mark L.",,,,
Culture and Economic Behavior: A Commentary,"Lipset, Seymour Martin",,,,
Customer Discrimination and Employment Outcomes: Theory and Evidence from the French Labor Market,"Combes, Pierre-Philippe; Decreuse, Bruno; Laouenan, Morgane; Trannoy, Alain",,,,
Cyclical Variations in Wage Differentials and Unemployment,"Ohashi, Isao",,,,
Data Improvement and Labor Economics,"Hallock, Kevin F.",,,,
Death and Divorce: The Long-Term Consequences of Parental Loss on Adolescents,"Corak, Miles",,,,
Declining Job Security,"Valletta, Robert G.",,,,
Decomposing Trends in Inequality in Earnings into Forecastable and Uncertain Components: Erratum,"Cunha, Flavio; Heckman, James",,,,
Decomposing Wage Residuals: Unmeasured Skill or Statistical Artifact?,"Suen, Wing",,,,
Delayed Payment Contracts and a Firm's Propensity to Hire Older Workers,"Hutchens, Robert",,,,
Delays in Renewal of Labor Contracts: Theory and Evidence,"Danzinger, Leif; Neuman, Shoshana",,,,
"Demand Shifts, Population Adjustments, and Labor Market Outcomes during the 1980s","Bound, John; Holzer, Harry J.",,,,
Determinants of Hourly Earnings in Ecuador: The Role of Labor Market Regulations,"MacIsaac, Donna; Rama, Martin",,,,
Determinants of Performance Measure Choices in Worker Incentive Plans,"Ittner, Christopher D.; Larcker, David F.",,,,
Determinants of Quit Behavior,"Weiss, Andrew",,,,
Determinants of the Match between Student Ability and College Quality,"Dillon, Eleanor Wiske; Smith, Jeffrey Andrew",,,,
"Diagnosing Expertise: Human Capital, Decision Making, and Performance among Physicians","Currie, Janet; MacLeod, W. Bentley",,,,
Did Henry Ford Pay Efficiency Wages?,"Raff, Daniel M. G.; Summers, Lawrence H.",,,,
Did the Job Ladder Fail after the Great Recession?,"Moscarini, Giuseppe; Postel-Vinay, Fabien",,,,
Differences in Labor Supply to Monopsonistic Firms and the Gender Pay Gap: An Empirical Analysis Using Linked Employer-Employee Data from Germany,"Hirsch, Boris; Schank, Thorsten; Schnabel, Claus",,,,
Differences in Male and Female Job-quitting Behavior,"Meitzen, Mark E.",,,,
Difficult Choices: Crossing the Picket Line during the 1987 National Football League Strike,"Gramm, Cynthia L.; Schnell, John F.",,,,
Disability Insurance Benefits and Labor Supply: Some Additional Evidence,"Campolieti, Michele",,,,
Discretion and Incentives in Organizations,"Olsen, Trond E.; Torsvik, Gaute",,,,
Discrimination in an Equilibrium Search Model,"Black, Dan A.",,,,
Dismissals for Cause: The Difference That Just Eight Paragraphs Can Make,"Martins, Pedro S.",,,,
"Displacement, Asymmetric Information, and Heterogeneous Human Capital","Hu, Luojia; Taber, Christopher",,,,
Dividing the Costs and Returns to General Training,"Loewenstein, Mark A.; Spletzer, James R.",,,,
"Divorce, Remarriage, and Child Support","Chiappori, Pierre-Andre; Weiss, Yoram",,,,
Do Academic Salaries Decline with Seniority?,"Moore, William J.; Newman, Robert J.; Turnbull, Geoffrey K.",,,,
Do Agents Game Their Agents' Behavior? Evidence from Sales Managers,"Benson, Alan",,,,
Do Employers Provide Insurance against Low Frequency Shocks? Industry Employment and Industry Wages,"Devereux, Paul J.",,,,
Do Firms Pay Efficiency Wages? Evidence with Data at the Firm Level,"Campbell, Carl M., III",,,,
Do Informal Referrals Lead to Better Matches? Evidence from a Firm's Employee Referral System,"Brown, Meta; Setren, Elizabeth; Topa, Giorgio",,,,
Do Men and Women Respond Differently to Competition? Evidence from a Major Education Reform,"Morin, Louis-Philippe",,,,
Do Neighborhoods Affect Hours Worked? Evidence from Longitudinal Data,"Weinberg, Bruce A.; Reagan, Patricia B.; Yankow, Jeffrey J.",,,,
Do Wages Compensate for Anticipated Working Time Restrictions? Evidence from Seasonal Employment in Austria,"Del Bono, Emilia; Weber, Andrea",,,,
Do Workers Accept Lower Wages in Exchange for Health Benefits?,"Olson, Craig A.",,,,
Do Workers Prefer Increasing Wage Profiles?,"Loewenstein, George F.; Sicherman, Nachum",,,,
Doctors without Borders? Relicensing Requirements and Negative Selection in the Market for Physicians,"Kugler, Adriana D.; Sauer, Robert M.",,,,
Does Early Maternal Employment Harm Child Development? An Analysis of the Potential Benefits of Leave Taking,"Baum, Charles L., II",,,,
Does Employer Learning Vary by Occupation?,"Mansour, Hani",,,,
Does Immigration Affect Whether US Natives Major in Science and Engineering?,"Orrenius, Pia M.; Zavodny, Madeline",,,,
Does Online Search Crowd Out Traditional Search and Improve Matching Efficiency? Evidence from Craigslist,"Kroft, Kory; Pope, Devin G.",,,,
Does Pay Inequality Affect Worker Effort? Experimental Evidence,"Charness, Gary; Kuhn, Peter",,,,
Does Redistribution Reduce Inequality?,"Davies, James B.",,,,
Does School Quality Explain the Recent Black/White Wage Trend?,"Grogger, Jeff",,,,
Does Teacher Training Affect Pupil Learning? Evidence from Matched Comparisons in Jerusalem Public Schools,"Angrist, Joshua D.; Lavy, Victor",,,,
Does Unemployment Insurance Crowd Out Spousal Labor Supply?,"Cullen, Julie Berry; Gruber, Jonathan",,,,
Does Your Cohort Matter? Measuring Peer Effects in College Achievement,"Carrell, Scott E.; Fullerton, Richard L.; West, James E.",,,,
Domestic Violence and Divorce Law: When Divorce Threats Become Credible,"Brassiolo, Pablo",,,,
Down from the Mountain: Skill Upgrading and Wages in Appalachia,"Bollinger, Christopher; Ziliak, James P.; Troske, Kenneth R.",,,,
Drug Dealing and Legitimate Self-Employment,"Fairlie, Robert W.",,,,
"Dual Labor Markets, Efficiency Wages, and Search","Albrecht, James W.; Vroman, Susan B.",,,,
Dynamically Sabotage-Proof Tournaments,"Ishida, Junichiro",,,,
"Early Contract Renegotiation: An Analysis of US Labor Contracts, 1970-1995","Rich, Robert; Tracy, Joseph",,,,
Early Retirement Provisions and the Labor Force Behavior of Older Men: Evidence from Canada,"Baker, Michael; Benjamin, Dwayne",,,,
Early-Career Work Experience and Gender Wage Differentials,"Light, Audrey; Ureta, Manuelita",,,,
Earnings Divergence of Immigrants,"Lam, Kit-Chun; Liu, Pak-Wai",,,,
"Earnings Dynamics and Inequality among Canadian Men, 1976-1992: Evidence from Longitudinal Income Tax Records","Baker, Michael; Solon, Gary",,,,
Earnings Functions When Wages and Prices Vary by Location,"Black, Dan; Kolesnikova, Natalia; Taylor, Lowell",,,,
"Earnings Functions, Specific Human Capital, and Job Matching: Tenure Bias Is Negative","Stevens, Margaret",,,,
Earnings Instability and Earnings Inequality of Males in the United States: 1967-1991,"Haider, Steven J.",,,,
Earnings of Hispanic Men: The Role of English Language Proficiency,"McManus, Walter; Gould, William; Welch, Finis",,,,
"Earnings, Productivity, and Performance-Related Pay","Booth, Alison L.; Frank, Jeff",,,,
"Earnings, Rents, and Competition in the Airline Labor Market","Hirsch, Barry T.; Macpherson, David A.",,,,
Economic Contests: Comparative Reward Schemes,"O'Keeffe, Mary; Viscusi, W. Kip; Zeckhauser, Richard J.",,,,
Economic Effects of Workers' Compensation in the United States: Private Insurance and the Administration of Compensation Claims,"Thomason, Terry; Burton, John F., Jr.",,,,
Economic Growth and Multiskilled Workers in Manufacturing,"Park, Ki Seong",,,,
Economic Response to a Guaranteed Annual Income: Experience from Canada and the United States,"Hum, Derek; Simpson, Wayne",,,,
Economic Response to a Guaranteed Annual Income: Experience from Canada and the United States: Comment,"Anderson, Gary M.; Block, Walter",,,,
Education and the Allocation of Talent,"Hvide, Hans K.",,,,
"Education, Human Capital, and Growth: A Personal Perspective","Griliches, Zvi",,,,
"Education, Ranking, and Competition for Jobs","Moen, Espen R.",,,,
Educational Attainment and Cohort Size,"Stapleton, David C.; Young, Douglas J.",,,,
Educational Attainment and the Changing US Wage Structure: Dynamic Implications on Young Individuals' Choices,"Buchinsky, Moshe; Leslie, Phillip",,,,
Effects on School Enrollment and Performance of a Conditional Cash Transfer Program in Mexico,"Dubois, Pierre; de Janvry, Alain; Sadoulet, Elisabeth",,,,
Efficiency Effects of Premium-Setting Regimes under Workers' Compensation: Canada and the United States,"Bruce, Christopher J.; Atkins, Frank J.",,,,
Efficiency Wages and Employment Rents: The Employer-Size Wage Effect in the Job Market for Lawyers,"Rebitzer, James B.; Taylor, Lowell J.",,,,
Efficient Bargains and the McDonald-Solow Conjecture,"Clark, Andrew",,,,
Eliminating Race Differences in School Attainment and Labor Market Success,"Keane, Michael P.; Wolpin, Kenneth I.",,,,
Empirical Age-Earnings Profiles,"Murphy, Kevin M.; Welch, Finis",,,,
Employee Crime and the Monitoring Puzzle,"Dickens, William T.",,,,
Employer Demand for Welfare Recipients by Race,"Holzer, Harry J.; Stoll, Michael A.",,,,
"Employer Size: The Implications for Search, Training, Capital Investment, Starting Wages, and Wage Growth","Barron, John M.; Black, Dan A.; Loewenstein, Mark A.",,,,
Employer Tax Evasion in the Unemployment Insurance Program,"Blakemore, Arthur E.",,,,
Employment and Technological Innovation: Evidence from UK Manufacturing Firms,"Van Reenen, John",,,,
Employment and Unemployment Effects of Unions,"Montgomery, Edward",,,,
Employment and Wage Effects of Trade Liberalization: The Case of Mexican Manufacturing,"Revenga, Ana",,,,
Employment Bonuses and Labor Turnover,"Blakemore, Arthur E.; Low, Stuart A.; Ormiston, Michael B.",,,,
Employment Determination in a Unionized Public-Sector Labor Market: The Case of Ontario's School Teachers,"Currie, Janet",,,,
Employment Dynamics and the Structure of Labor Adjustment Costs,"Varejao, Jose; Portugal, Pedro",,,,
"Employment Fluctuations in US Regions and Industries: The Roles of National, Region-Specific, and Industry-Specific Shocks","Clark, Todd E.",,,,
Employment Relations in Dual Labor Markets (' It's Nice Work If You Can Get It'),"Oi, Walter Y.",,,,
"Employment, Motherhood, and School Continuation Decisions of Young White, Black, and Hispanic Women","Ahituv, Avner; Tienda, Marta",,,,
"Employment, Wage, and Accommodation Patterns of Permanently Impaired Workers","Cater, Bruce I.",,,,
Enforcement of Implicit Employment Contracts through Unionization,"Hogan, Chad",,,,
English Language Ability and the Labor Market Opportunities of Hispanic and East Asian Immigrant Men,"Kossoudji, Sherrie A.",,,,
Enriching a Theory of Wage and Promotion Dynamics inside Firms,"Gibbons, Robert; Waldman, Michael",,,,
Entrepreneurship,"Lazear, Edward P.",,,,
"Equilibrium Earnings, Turnover, and Unemployment: New Evidence","Topel, Robert H.",,,,
Equilibrium Unemployment and the Efficient Job-Finding Rate,"Ramaswami, Chitra",,,,
Erratum: The Complexity of Job Mobility among Young Men,"Neal, Derek",,,,
Estimating a Simultaneous Search Model,"Stern, Steven",,,,
Estimating Dynamic Models of Quit Behavior: The Case of Military Reenlistment,"Daula, Thomas; Moffitt, Robert",,,,
Estimating Gender Differences in Access to Jobs,"Gobillon, Laurent; Meurs, Dominique; Roux, Sebastien",,,,
Estimating Strike Effects in a General Model of Prices and Quantities,"Gunderson, Morley; Melino, Angelo",,,,
Estimating the Effects of Unions on Wage Inequality in a Panel Data Model with Comparative Advantage and Nonrandom Selection,"Lemieux, Thomas",,,,
Estimating the Employer Switching Costs and Wage Responses of Forward-Looking Engineers,"Fox, Jeremy T.",,,,
Estimating the Firm's Labor Supply Curve in a 'New Monopsony' Framework: Schoolteachers in Missouri,"Ransom, Michael R.; Sims, David P.",,,,
Estimating the Personal Distribution of Income with Adjustment for Within-Family Variation,"Lazear, Edward P.; Michael, Robert T.",,,,
Estimating the Personal Distribution of Income with Adjustment for Within-Family Variation: Comment,"Smith, James D.",,,,
Estimating the Returns to College Quality with Multiple Proxies for Quality,"Black, Dan A.; Smith, Jeffrey A.",,,,
Estimation of Unemployment Duration from Grouped Data: A Comparative Study,"Baker, G. M.; Trivedi, P. K.",,,,
Ethnic Enclaves and Immigrant Labor Market Outcomes: Quasi-experimental Evidence,"Damm, Anna Piil",,,,
Evaluating Education Programs That Have Lotteried Admission and Selective Attrition,"Engberg, John; Epple, Dennis; Imbrogno, Jason; Sieg, Holger; Zimmer, Ron",,,,
Evaluating the Differential Effects of Alternative Welfare-to-Work Training Components: A Reanalysis of the California GAIN Program,"Hotz, V. Joseph; Imbens, Guido W.; Klerman, Jacob A.",,,,
Evaluating the Effect of Tax Deductions on Training,"Leuven, Edwin; Oosterbeek, Hessel",,,,
Evidence on the Validity of Cross-Sectional and Longitudinal Labor Market Data,"Bound, John",,,,
Executive Compensation and Tournament Theory: Empirical Tests on Danish Data,"Eriksson, Tor",,,,
Expansions in Maternity Leave Coverage and Mothers' Labor Market Outcomes after Childbirth,"Schonberg, Uta; Ludsteck, Johannes",,,,
Expectations of Unemployment Insurance and Unemployment Duration,"Rogers, Cynthia L.",,,,
Experimentation and Job Choice,"Antonovics, Kate; Golan, Limor",,,,
